# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 823  of event 'cycles'
# Event count (approx.): 4115000000
#
# Overhead  Command      Shared Object     Symbol                                    
# ........  ...........  ................  ..........................................
#
     0.12%  python3-dbg  python3.10d       [.] get_float_state
     0.12%  python3-dbg  python3.10d       [.] get_small_int.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] list_iter.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] long_bool.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] long_compare.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] long_new_impl.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] lookdict_unicode
     0.12%  python3-dbg  python3.10d       [.] math_1_to_whatever
     0.12%  python3-dbg  python3.10d       [.] math_sqrt
     0.12%  python3-dbg  python3.10d       [.] method_vectorcall
     0.12%  python3-dbg  python3.10d       [.] new_dict_with_shared_keys.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] object_dealloc.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] object_init.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] pymalloc_pool_extend
     0.12%  python3-dbg  python3.10d       [.] rangeiter_next.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] simple_stmts_rule.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] sm_descr_get.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] tupletraverse.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] type_cache_clear
     0.12%  python3-dbg  python3.10d       [.] type_call.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] type_is_gc.lto_priv.0
     0.12%  python3-dbg  python3.10d       [.] unicode_eq
     0.12%  python3-dbg  python3.10d       [.] vgetargs1
     0.12%  python3-dbg  python3.10d       [.] visit_decref
     0.12%  python3-dbg  python3.10d       [.] visit_reachable
     0.12%  python3-dbg  python3.10d       [.] write_size_t
     0.12%  python3-dbg  [unknown]         [k] 0xffffffffab4b3ea1
     0.12%  python3-dbg  [unknown]         [k] 0xffffffffab6b3a94
     0.12%  python3-dbg  [unknown]         [k] 0xffffffffab718906
     0.12%  python3-dbg  [unknown]         [k] 0xffffffffab73c3b6
     0.12%  python3-dbg  [unknown]         [k] 0xffffffffab7afa36
     0.12%  python3-dbg  [unknown]         [k] 0xffffffffab986d47


#
# (Cannot load tips.txt file, please install perf!)
#
