# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 552  of event 'cycles'
# Event count (approx.): 2760000000
#
# Overhead  Command      Shared Object     Symbol                                    
# ........  ...........  ................  ..........................................
#
     0.18%  python3-dbg  python3.10d       [.] move_unreachable
     0.18%  python3-dbg  python3.10d       [.] new_dict
     0.18%  python3-dbg  python3.10d       [.] r_object
     0.18%  python3-dbg  python3.10d       [.] set_dealloc.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] set_lookkey
     0.18%  python3-dbg  python3.10d       [.] slot_tp_init
     0.18%  python3-dbg  python3.10d       [.] tuple_alloc
     0.18%  python3-dbg  python3.10d       [.] tupleitem.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] tupleiter_next.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] type_call.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] type_getattro.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] visit_reachable
     0.18%  python3-dbg  python3.10d       [.] 0x0000000000021100
     0.18%  python3-dbg  [unknown]         [k] 0xffffffffa9d65d11
     0.18%  python3-dbg  [unknown]         [k] 0xffffffffa9eadf68
     0.18%  python3-dbg  [unknown]         [k] 0xffffffffa9edf5b0
     0.18%  python3-dbg  [unknown]         [k] 0xffffffffaa173b70


#
# (Cannot load tips.txt file, please install perf!)
#
